@relation 's_0: -C -2'

@attribute NOP_method numeric
@attribute CC_method numeric
@attribute ATFD_method numeric
@attribute FDP_method numeric
@attribute CM_method numeric
@attribute MAXNESTING_method numeric
@attribute LOC_method numeric
@attribute CYCLO_method numeric
@attribute NMCS_method numeric
@attribute NOLV_method numeric
@attribute MaMCL_method numeric
@attribute NOAV_method numeric
@attribute LAA_method numeric
@attribute FANOUT_method numeric
@attribute CFNAMM_method numeric
@attribute ATLD_method numeric
@attribute CLNAMM_method numeric
@attribute CINT_method numeric
@attribute MeMCL_method numeric
@attribute CDISP_method numeric
@attribute isStatic_type numeric
@attribute number_private_visibility_attributes numeric
@attribute number_protected_visibility_attributes numeric
@attribute number_package_visibility_attributes numeric
@attribute num_final_attributes numeric
@attribute num_static_attributes numeric
@attribute num_final_static_attributes numeric
@attribute num_not_final_not_static_attributes numeric
@attribute num_final_not_static_attributes numeric
@attribute num_static_not_final_attributes numeric
@attribute number_public_visibility_methods numeric
@attribute number_private_visibility_methods numeric
@attribute number_protected_visibility_methods numeric
@attribute number_package_visibility_methods numeric
@attribute number_final_methods numeric
@attribute number_abstract_methods numeric
@attribute number_not_abstract_not_final_methods numeric
@attribute number_static_methods numeric
@attribute number_final_static_methods numeric
@attribute number_final_not_static_methods numeric
@attribute number_not_final_static_methods numeric
@attribute number_not_final_not_static_methods numeric
@attribute number_standard_design_methods numeric
@attribute number_constructor_DefaultConstructor_methods numeric
@attribute number_constructor_NotDefaultConstructor_methods numeric
@attribute isStatic_method numeric
@attribute is_LM {0,1}
@attribute is_FE {0,1}

@data
4,0,34,8,0,6,119,19,7,15,2,60,0.105263,11,7,4,0,32,2,0.34375,0,4,0,0,0,0,0,4,0,0,5,0,2,0,0,0,7,0,0,0,0,7,2,0,1,0,1,1
4,0,1,1,0,6,111,21,0,16,0,19,0.666667,2,4,2,1,4,0,0.5,0,0,2,0,0,0,0,2,0,0,31,0,4,0,0,0,35,1,0,0,1,34,31,0,2,0,1,0
0,0,0,0,0,1,37,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1,1,2,0,0,0,0,0
3,0,0,0,0,1,6,1,0,4,0,6,1,1,1,2,0,1,0,1,0,4,0,0,0,0,0,4,0,0,5,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,0
1,1,0,0,1,1,4,1,0,1,0,2,1,0,0,1,1,0,0,0,0,5,12,0,8,7,7,14,1,0,17,1,22,0,0,0,40,0,0,0,0,40,37,0,1,0,0,0
4,0,16,7,0,9,175,26,0,30,0,48,0.058824,9,16,1,1,17,0,0.529412,0,1,0,1,1,0,0,1,1,0,2,1,0,3,0,0,6,1,0,0,1,5,5,1,0,0,1,1
1,1,0,0,1,1,12,1,0,2,0,6,1,1,1,4,1,1,0,1,0,3,0,0,8,8,8,9,0,0,15,5,0,6,0,0,26,8,0,0,8,18,19,0,2,1,0,0
0,0,7,2,0,3,39,7,0,1,0,12,0.222222,4,6,2,0,8,0,0.5,0,1,9,0,9,10,9,9,0,1,2,2,59,0,0,0,63,1,0,0,1,62,60,1,0,0,0,1
0,0,10,6,0,7,167,16,0,14,0,37,0.4,11,16,6,2,24,0,0.458333,0,3,4,0,0,0,0,7,0,0,7,6,1,0,0,0,14,0,0,0,0,14,11,0,1,0,1,1
2,0,15,4,0,4,120,24,0,13,0,28,0,5,16,0,0,17,0,0.294118,0,3,0,0,3,1,1,0,2,0,5,1,0,0,0,0,6,1,0,0,1,5,3,0,1,0,1,1
4,1,6,2,1,1,13,3,0,4,0,15,0.454545,1,1,5,1,1,0,1,0,10,0,9,3,3,3,19,0,0,9,7,0,1,0,0,17,1,0,0,1,16,14,0,1,0,0,0
0,0,4,4,0,6,265,37,1,27,3,42,0.666667,13,17,4,3,21,3,0.619048,0,5,1,0,1,1,1,5,0,0,35,4,7,0,0,0,46,1,0,0,1,45,37,0,2,0,1,0
1,0,0,0,0,1,8,2,0,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0
1,1,7,4,1,3,36,4,0,11,0,21,0.2,9,14,1,0,17,0,0.529412,0,2,0,0,1,1,1,1,0,0,7,0,0,0,0,0,7,0,0,0,0,7,6,0,1,0,0,1
12,0,5,2,0,6,367,30,0,77,0,84,0.285714,1,0,2,0,3,0,0.333333,0,6,8,0,3,6,3,8,0,3,23,6,0,0,0,0,29,0,0,0,0,29,26,0,1,0,1,1
1,0,4,1,0,7,164,28,0,18,0,30,0.666667,13,19,8,6,19,0,0.684211,0,8,0,1,7,3,3,2,4,0,24,6,0,1,0,0,31,0,0,0,0,31,30,0,1,0,1,0
12,0,3,2,0,6,214,45,0,69,0,86,0.5625,4,5,9,5,7,0,0.571429,0,15,0,0,8,10,8,5,0,2,5,8,0,0,0,0,13,7,0,0,7,6,11,0,2,0,1,0
1,0,6,1,0,4,51,12,0,14,0,22,0,7,10,0,4,11,0,0.636364,0,6,0,0,17,17,17,0,0,0,5,4,0,0,0,0,9,9,0,0,9,0,9,0,0,1,0,1
2,0,5,4,0,2,27,8,0,7,0,15,0.285714,8,14,2,1,17,0,0.470588,0,1,0,0,0,0,0,1,0,0,2,1,2,0,0,0,5,1,0,0,1,4,4,0,1,0,0,1
1,1,0,0,1,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,0,0,0
1,1,0,0,1,1,6,1,0,1,0,1,0,2,2,0,0,2,0,1,0,3,0,0,0,0,0,3,0,0,8,1,0,0,0,0,9,0,0,0,0,9,4,0,3,0,0,0
1,0,0,0,0,1,6,1,0,1,0,1,0,2,2,0,0,2,0,1,0,3,0,0,0,0,0,3,0,0,8,1,0,0,0,0,9,0,0,0,0,9,4,0,3,0,0,0
1,0,0,0,0,1,4,1,0,1,0,2,1,0,0,1,0,0,0,0,1,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,0,0,0
4,0,4,3,0,3,141,6,1,23,2,37,0.733333,9,9,11,0,13,2,0.692308,0,9,0,0,0,0,0,9,0,0,15,4,0,0,0,0,19,6,0,0,6,13,17,0,0,1,0,0
1,0,0,0,0,8,284,35,0,24,0,43,0.466667,5,11,7,4,19,0,0.263158,0,9,0,0,9,7,7,0,2,0,2,5,0,2,0,0,9,4,0,0,4,5,7,0,2,0,1,0
5,1,35,10,1,6,345,101,0,74,0,149,0.04878,16,55,2,4,77,0,0.207792,0,1,45,3,2,2,2,47,0,0,18,0,11,47,0,0,76,0,0,0,0,76,50,0,1,0,1,1
5,0,15,3,0,2,17,2,0,6,0,25,0,1,0,0,0,5,0,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1
3,0,0,0,0,4,58,7,0,11,0,11,1,0,0,1,3,0,0,0,0,0,3,0,2,3,2,0,0,1,4,5,0,0,3,0,6,2,1,2,1,5,8,1,0,0,0,0
0,0,10,4,0,11,171,39,5,18,2,31,0.230769,5,10,3,5,17,2,0.294118,0,9,0,0,0,2,0,9,0,2,22,1,0,0,0,0,23,0,0,0,0,23,17,0,1,0,1,1
1,1,11,3,1,1,13,1,1,2,2,22,0.153846,6,6,2,0,17,2,0.352941,0,3,0,0,0,0,0,3,0,0,15,0,0,0,0,0,15,0,0,0,0,15,11,0,0,0,0,1
1,0,0,0,0,1,4,1,0,1,0,3,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,5,0,0,0,0,0,5,0,0,0,0,5,3,0,2,0,0,0
1,1,34,3,1,1,54,1,0,1,0,38,0.081081,21,20,3,0,21,0,1,0,10,0,0,0,1,0,9,0,1,9,0,0,0,0,0,9,0,0,0,0,9,7,0,1,0,0,0
2,2,0,0,2,1,124,1,0,11,0,46,1,0,0,35,2,0,0,0,0,59,2,2,34,34,34,63,0,0,65,3,21,0,0,0,89,0,0,0,0,89,52,0,1,0,0,0
0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,2,2,34,34,34,63,0,0,65,3,21,0,0,0,89,0,0,0,0,89,52,0,1,0,0,0
1,0,0,0,0,3,30,4,0,7,0,8,1,0,0,1,1,0,0,0,0,0,3,0,2,3,2,0,0,1,4,5,0,0,3,0,6,2,1,2,1,5,8,1,0,0,0,0
6,2,0,0,2,6,147,15,0,10,0,13,0.333333,6,7,1,4,7,0,0.857143,0,7,0,0,3,2,2,5,1,0,16,8,0,2,0,0,26,0,0,0,0,26,22,0,1,0,1,0
0,0,0,0,0,1,4,1,0,0,0,4,1,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,3,1,0,0,0,0,4,0,0,0,0,4,3,0,1,0,0,0
1,0,0,0,0,1,151,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,1,7,0,0,16,3,2,0,0,0,21,0,0,0,0,21,15,0,1,0,0,0
2,0,0,0,0,2,12,2,0,2,0,1,0,2,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0
0,0,0,0,0,1,5,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,3,2,0,1,0,0,0
2,1,0,0,1,1,26,1,0,3,0,8,1,4,4,5,0,4,0,1,0,6,0,0,2,2,2,6,0,0,4,1,0,0,0,0,5,0,0,0,0,5,3,0,1,0,0,0
4,1,6,3,1,5,183,23,0,22,0,34,0.454545,13,25,5,1,28,0,0.464286,0,5,0,0,1,1,1,5,0,0,17,1,0,0,6,0,12,0,0,6,0,12,7,0,3,0,1,1
1,0,19,1,0,1,7,2,0,1,0,32,0.095238,1,0,2,1,1,0,1,0,1,25,0,16,14,11,7,5,3,21,0,3,0,0,0,24,0,0,0,0,24,8,0,1,0,0,1
3,1,0,0,1,1,7,1,0,3,0,3,0,3,3,0,1,3,0,1,0,1,0,0,1,1,1,0,0,0,10,6,0,0,0,0,16,15,0,0,15,1,15,0,1,1,0,0
0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,0,0,7,0,0,0,0,0,7,0,0,0,0,7,6,0,1,0,0,0
2,0,1,1,0,1,7,1,0,2,0,3,0,3,2,0,0,3,0,1,0,1,0,0,1,1,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,0,0,0
0,1,0,0,1,2,14,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,4,0,0,4,0,4,0,0,1,0,0
1,3,0,0,3,1,6,1,0,2,0,2,0,0,0,0,1,0,0,0,0,3,0,0,8,8,8,9,0,0,15,5,0,6,0,0,26,8,0,0,8,18,19,0,2,1,0,0
6,0,16,7,0,7,139,17,0,21,0,47,0.2,16,17,4,3,30,0,0.533333,0,7,0,0,0,0,0,7,0,0,14,1,0,0,0,0,15,0,0,0,0,15,6,0,0,0,1,1
3,9,6,1,9,2,18,2,0,3,0,9,0,2,2,0,0,2,0,1,0,10,0,1,2,2,2,9,0,0,28,3,0,0,0,0,31,0,0,0,0,31,28,0,1,0,0,1
0,0,0,0,0,1,8,1,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,4,0,0,4,0,4,0,0,1,0,0
2,0,0,0,0,1,3,1,0,2,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,1,0,0,1,7,7,1,0,0,0,0
2,2,2,1,3,1,7,1,0,2,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,8,1,0,0,0,0,9,0,0,0,0,9,4,0,3,0,0,0
1,0,1,1,0,1,6,1,0,3,0,5,0.5,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
3,1,0,0,1,6,147,23,0,21,0,24,1,2,7,3,3,7,0,0.285714,0,7,0,0,7,1,1,0,6,0,0,7,0,2,0,0,9,1,0,0,1,8,8,0,1,0,1,0
4,2,10,7,2,7,194,29,0,17,0,32,0.428571,11,23,6,3,26,0,0.423077,0,21,0,2,21,20,20,14,1,0,68,10,4,3,0,0,85,2,0,0,2,83,64,0,1,0,1,1
4,0,4,1,0,7,197,37,0,27,0,33,0,1,3,0,1,7,0,0.142857,0,4,0,0,4,0,0,0,4,0,13,4,0,0,0,0,17,0,0,0,0,17,15,0,2,0,1,1
2,1,0,0,1,2,11,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1,34,2,0,0,2,0,34,36,2,0,34,0,36,0,0,1,0,0
0,0,0,0,0,1,7,1,0,0,0,4,1,1,1,4,0,1,0,1,0,0,11,0,5,5,5,6,0,0,30,0,0,0,0,0,30,0,0,0,0,30,23,0,1,0,0,0
1,0,7,5,0,8,208,44,0,29,0,36,0.3,12,8,3,1,15,0,0.8,0,0,0,0,0,0,0,8,0,0,20,9,1,0,0,0,30,0,0,0,0,30,23,0,1,0,1,1
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
5,0,9,4,0,7,157,21,1,23,2,48,0.608696,10,16,14,4,25,2,0.4,0,4,44,0,13,13,13,37,0,0,3,2,18,2,0,0,25,1,0,0,1,24,22,0,1,0,1,1
2,0,0,0,0,1,4,1,0,2,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0
6,1,4,1,1,6,193,30,0,12,0,37,0.84,4,11,21,2,11,0,0.363636,0,0,21,1,1,1,1,21,0,0,6,0,5,0,0,0,11,0,0,0,0,11,8,1,0,0,1,0
1,7,7,1,9,3,20,5,0,6,0,12,0,1,1,0,1,8,0,0.125,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,13,12,0,0,12,1,12,0,1,1,0,1
2,0,0,0,0,1,4,1,0,2,0,2,0,1,1,0,0,1,0,1,0,0,0,2,0,0,0,2,0,0,5,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,0
1,0,0,0,0,1,5,1,0,2,0,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,6,0,0,0,0,6,6,0,0,0,0,0
2,0,9,3,0,2,56,7,0,5,0,12,0,1,1,0,2,1,0,1,0,4,0,0,1,1,1,3,0,0,5,20,0,0,0,0,25,0,0,0,0,25,24,0,1,0,0,1
3,0,13,4,0,3,135,18,0,20,0,35,0.125,11,20,1,0,24,0,0.458333,0,4,0,0,1,3,1,1,0,2,8,0,0,1,0,0,9,0,0,0,0,9,8,0,1,0,1,1
1,1,0,0,1,1,7,1,0,1,0,2,1,1,1,1,0,1,0,1,0,0,7,0,2,2,2,7,0,0,17,0,6,0,0,0,23,0,0,0,0,23,21,0,1,0,0,0
1,0,0,0,0,1,4,1,0,1,0,2,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,4,0,0,5,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,0
0,1,0,0,1,1,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,4,0,0,14,0,0,0,0,0,14,1,0,0,1,13,10,0,1,0,0,0
4,0,0,0,0,11,406,127,0,33,0,48,1,0,0,15,0,0,0,0,0,0,0,15,15,15,15,0,0,0,12,0,0,0,10,0,2,12,10,0,2,0,12,0,0,1,1,0
7,2,27,13,2,7,204,25,0,33,0,84,0.21875,26,45,7,1,69,0,0.376812,0,8,0,0,0,0,0,8,0,0,3,2,0,0,0,0,5,0,0,0,0,5,4,0,1,0,1,1
0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,5,0,0,0,0,5,4,0,1,0,0,0
0,0,1,1,0,3,722,9,0,32,0,98,0.984848,3,3,65,8,3,0,1,0,59,2,2,34,34,34,63,0,0,65,3,21,0,0,0,89,0,0,0,0,89,52,0,1,0,0,0
4,1,16,11,1,6,289,34,3,35,2,55,0.272727,28,39,6,5,52,2,0.538462,0,5,0,0,6,3,3,1,3,0,2,7,0,0,0,0,9,0,0,0,0,9,8,0,1,0,1,1
2,1,2,2,1,7,101,27,0,12,0,22,0.888889,8,17,8,0,18,0,0.444444,0,0,0,0,8,8,8,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0
1,0,5,4,0,1,15,3,0,5,0,16,0.583333,7,7,7,0,9,0,0.777778,0,0,0,8,0,0,0,8,0,0,35,1,0,0,0,0,36,0,0,0,0,36,26,0,1,0,0,0
11,0,5,2,0,7,309,55,0,50,0,59,0.444444,1,1,4,0,4,0,0.25,0,6,8,0,3,6,3,8,0,3,23,6,0,0,0,0,29,0,0,0,0,29,26,0,1,0,1,0
0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,36,0,1,1,0,0,39,1,0,134,357,0,0,112,0,379,1,0,112,1,378,477,0,5,0,0,0
1,0,0,0,0,1,10,2,0,2,0,3,1,0,0,1,0,0,0,0,0,3,0,0,2,0,0,1,2,0,3,8,0,0,0,0,11,1,0,0,1,10,10,0,1,0,0,0
1,4,0,0,5,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,3,0,0,0,1,0,2,0,1,19,0,0,0,0,0,19,0,0,0,0,19,18,0,1,0,0,0
0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,9,8,0,1,0,0,0
3,0,0,0,0,2,18,3,0,7,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,1,2,0,0,2,9,1,0,0,1,10,8,0,1,1,0,0
2,2,0,0,10,1,4,1,0,2,0,4,1,0,0,2,0,0,0,0,0,3,0,0,2,0,0,1,2,0,3,8,0,0,0,0,11,1,0,0,1,10,10,0,1,0,0,0
5,0,0,0,0,7,388,78,0,23,0,23,0,3,5,0,2,5,0,0.6,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,5,0,0,0,0,5,4,1,0,0,1,0
0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,14,0,1,12,14,12,1,0,2,4,12,0,0,0,0,16,1,0,0,1,15,14,0,2,0,0,0
1,0,0,0,0,1,3,1,0,1,0,3,1,1,0,1,0,1,0,1,0,5,0,0,2,3,2,3,0,1,7,1,1,0,0,0,9,1,0,0,1,8,4,0,1,0,0,0
0,1,0,0,1,1,4,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,10,0,0,1,9,0,2,0,0,9,0,2,10,0,1,0,0,0
0,0,0,0,0,4,29,4,0,5,0,6,1,2,2,2,0,2,0,1,0,4,0,0,0,0,0,4,0,0,5,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,0
2,0,0,0,0,3,30,3,0,10,0,14,1,0,0,4,0,0,0,0,0,0,11,0,5,5,5,6,0,0,30,0,0,0,0,0,30,0,0,0,0,30,23,0,1,0,0,0
0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,1,4,0,0,2,0,2,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0
1,0,3,3,0,8,104,21,0,17,0,21,0.5,3,7,2,1,7,0,0.428571,0,7,0,0,9,9,9,0,0,0,15,8,0,0,0,0,23,22,0,0,22,1,22,0,1,1,1,0
1,1,0,0,3,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,5,0,0,0,1,0,4,0,1,11,2,0,0,0,0,13,2,0,0,2,11,12,0,1,1,0,0
1,0,1,1,0,1,3,1,0,1,0,2,0,2,2,0,0,2,0,1,0,0,0,0,4,4,4,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,1,0,1,0,0,0
5,0,1,1,0,6,102,23,0,23,0,25,0.5,1,3,1,1,3,0,0.333333,0,2,0,14,2,2,2,14,0,0,49,3,1,1,3,0,51,5,0,3,5,46,29,0,3,1,1,0
2,1,0,0,1,1,6,2,0,2,0,6,1,1,1,4,0,1,0,1,0,2,0,0,5,5,5,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0
1,0,11,4,0,3,33,12,0,8,0,20,0.083333,3,5,1,0,5,0,0.6,0,1,0,0,0,1,0,1,0,1,13,1,0,0,0,0,14,9,0,0,9,5,11,0,1,0,0,1
1,0,56,2,0,6,523,139,0,25,0,105,0.3,7,19,24,6,19,0,0.368421,0,1,0,3,0,0,0,4,0,0,4,25,0,0,0,0,29,6,0,0,6,23,27,0,2,0,1,1
0,0,0,0,0,7,438,69,0,27,0,34,1,0,0,7,1,0,0,0,0,9,0,1,1,1,1,9,0,0,6,5,0,0,0,0,11,0,0,0,0,11,10,0,1,0,1,0
3,1,0,0,1,1,4,1,0,3,0,4,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,1,1,0,0,0,6,0,0,0,0,6,5,0,1,0,0,0
0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,5,0,0,2,0,0,7,0,0,0,0,7,2,0,3,0,0,0
4,1,1,1,1,6,117,31,0,8,0,18,0.8,4,8,4,0,11,0,0.363636,0,8,0,2,7,6,6,3,1,0,10,5,0,3,0,0,18,5,0,0,5,13,16,0,1,1,1,0
1,0,1,1,0,1,14,1,0,1,0,9,0.875,5,5,7,0,5,0,1,0,0,0,8,0,0,0,8,0,0,35,1,0,0,0,0,36,0,0,0,0,36,26,0,1,0,0,0
0,0,0,0,0,2,20,3,0,5,0,11,1,3,3,6,0,3,0,1,0,0,4,0,1,1,1,4,0,0,7,0,4,0,0,0,11,0,0,0,0,11,10,0,1,0,0,0
4,0,33,1,0,6,129,53,0,6,0,77,0.232558,9,10,10,2,40,0,0.225,0,10,0,0,0,0,0,10,0,0,10,0,0,0,0,0,10,0,0,0,0,10,8,0,1,0,1,1
1,1,0,0,4,2,10,3,0,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10,0,0,1,9,0,2,0,0,9,0,2,10,0,1,0,0,0
4,2,3,2,2,6,228,29,0,27,0,32,0.4,13,27,2,2,30,0,0.433333,0,2,0,0,1,2,1,0,0,1,14,0,0,0,0,0,14,14,0,0,14,0,14,0,0,1,1,1
1,0,8,7,0,6,167,24,0,11,0,33,0.272727,4,3,6,3,4,0,1,0,9,0,0,3,0,0,6,3,0,0,5,0,22,0,0,27,3,0,0,3,24,24,0,1,0,1,1
1,0,0,0,0,2,7,2,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,4,1,1,0,0,0,6,0,0,0,0,6,5,0,1,0,0,0
2,0,0,0,0,1,7,1,0,2,0,3,1,1,1,2,1,1,0,1,0,4,0,0,0,0,0,4,0,0,3,1,0,0,0,0,4,0,0,0,0,4,3,0,1,0,0,0
1,0,0,0,0,3,14,3,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1,34,2,0,0,2,0,34,36,2,0,34,0,36,0,0,1,0,0
5,0,8,3,0,1,32,7,0,6,0,13,0.2,1,1,2,0,1,0,1,0,2,0,0,0,0,0,2,0,0,10,2,0,0,0,0,12,4,0,0,4,8,11,1,0,0,0,1
1,0,0,0,0,1,4,1,0,1,0,2,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,4,0,0,5,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,0
1,0,0,0,0,1,3,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,1,0,0,1,7,7,1,0,0,0,0
1,0,2,1,0,2,11,2,0,3,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,6,0,0,0,0,6,6,0,0,0,0,0
0,0,4,3,0,9,267,37,0,28,0,48,0.8,5,6,16,10,6,0,0.833333,0,1,0,0,65,65,65,1,0,0,6,64,63,1,125,0,9,64,64,61,0,9,128,0,5,0,1,0
0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10,0,0,1,9,0,2,0,0,9,0,2,10,0,1,0,0,0
2,0,1,1,0,5,162,22,0,15,0,28,0.769231,9,9,10,3,11,0,0.818182,0,12,0,2,0,0,0,14,0,0,11,4,0,0,0,0,15,0,0,0,0,15,6,0,1,0,1,0
2,0,14,4,0,6,164,39,0,25,0,46,0.222222,13,16,4,2,26,0,0.5,0,17,0,0,0,0,0,17,0,0,27,10,1,0,0,0,38,0,0,0,0,38,24,0,1,0,1,1
1,1,1,1,1,2,18,2,0,5,0,9,0.75,1,0,3,0,1,0,1,0,5,0,0,2,2,2,3,0,0,6,3,0,0,0,0,9,2,0,0,2,7,8,0,1,0,0,0
0,1,4,2,1,6,119,32,0,7,0,31,0.833333,2,1,20,4,2,0,1,0,1,0,0,65,65,65,1,0,0,6,64,63,1,125,0,9,64,64,61,0,9,128,0,5,0,1,0
1,1,0,0,1,1,5,1,0,1,0,3,1,0,0,2,0,0,0,0,0,6,0,0,2,2,2,6,0,0,4,1,0,0,0,0,5,0,0,0,0,5,3,0,1,0,0,0
3,0,3,1,0,6,122,24,0,12,0,25,0.5,2,1,7,10,4,0,0.5,0,4,17,0,9,6,6,14,3,0,34,10,19,0,4,4,55,1,0,4,1,58,50,0,4,0,1,0
2,0,11,3,0,2,38,3,0,14,0,27,0.153846,5,13,2,1,18,0,0.277778,0,4,0,0,0,0,0,4,0,0,4,0,1,0,0,0,5,0,0,0,0,5,4,0,1,0,0,1
3,0,3,1,0,1,11,2,0,3,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0
0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,36,0,1,1,0,0,39,1,0,134,357,0,0,112,0,379,1,0,112,1,378,477,0,5,0,0,0
1,0,5,1,0,3,26,5,0,3,0,13,0.166667,1,1,1,3,5,0,0.2,0,6,0,1,0,1,0,10,0,1,85,107,0,0,184,0,8,1,1,183,0,8,187,0,4,0,0,1
1,0,4,2,0,3,105,25,0,16,0,32,0.692308,4,5,9,0,7,0,0.571429,0,7,0,0,9,9,9,7,0,0,5,0,0,0,0,0,5,0,0,0,0,5,3,0,1,0,1,0
2,2,2,1,4,7,114,22,0,14,0,30,0.875,1,1,14,0,1,0,1,0,7,0,6,3,11,3,5,0,8,6,1,0,0,1,0,6,1,1,0,0,6,1,0,2,0,1,0
0,1,0,0,1,6,241,36,0,24,0,33,1,2,4,9,5,4,0,0.5,0,15,0,0,13,9,9,3,4,0,7,5,0,0,0,0,12,1,0,0,1,11,10,0,2,0,1,0
1,1,7,3,1,2,43,7,0,10,0,17,0.2,8,13,1,0,13,0,0.615385,0,2,0,0,1,1,1,1,0,0,7,0,0,0,0,0,7,0,0,0,0,7,6,0,1,0,0,1
0,2,0,0,2,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,1,2,1,5,0,1,22,0,1,0,0,0,23,0,0,0,0,23,16,0,2,0,0,0
